image_path,label,label_idx,bbox,img_w,img_h
./Multi class/train/drowsy/slowBlinkWithNodding/005_glasses_slowBlinkWithNodding_1648_drowsy.jpg,slowBlinkWithNodding,3,"[217, 216, 438, 441]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_noglasses_slowBlinkWithNodding_1893_drowsy.jpg,slowBlinkWithNodding,3,"[217, 166, 438, 391]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_noglasses_slowBlinkWithNodding_342_drowsy.jpg,slowBlinkWithNodding,3,"[0, 0, 639, 479]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_noglasses_slowBlinkWithNodding_848_drowsy.jpg,slowBlinkWithNodding,3,"[262, 166, 372, 391]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_noglasses_slowBlinkWithNodding_476_drowsy.jpg,slowBlinkWithNodding,3,"[0, 0, 639, 479]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/001_glasses_slowBlinkWithNodding_1857_drowsy.jpg,slowBlinkWithNodding,3,"[142, 192, 365, 415]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_noglasses_slowBlinkWithNodding_1117_drowsy.jpg,slowBlinkWithNodding,3,"[241, 143, 465, 364]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_glasses_slowBlinkWithNodding_1282_drowsy.jpg,slowBlinkWithNodding,3,"[217, 166, 438, 391]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_noglasses_slowBlinkWithNodding_1615_drowsy.jpg,slowBlinkWithNodding,3,"[242, 160, 428, 345]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_glasses_slowBlinkWithNodding_1326_drowsy.jpg,slowBlinkWithNodding,3,"[242, 138, 429, 325]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_noglasses_slowBlinkWithNodding_1428_drowsy.jpg,slowBlinkWithNodding,3,"[241, 143, 465, 364]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_glasses_slowBlinkWithNodding_1974_drowsy.jpg,slowBlinkWithNodding,3,"[217, 166, 438, 390]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/001_noglasses_slowBlinkWithNodding_1752_drowsy.jpg,slowBlinkWithNodding,3,"[216, 118, 439, 341]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_glasses_slowBlinkWithNodding_1259_drowsy.jpg,slowBlinkWithNodding,3,"[242, 160, 429, 345]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_noglasses_slowBlinkWithNodding_2170_drowsy.jpg,slowBlinkWithNodding,3,"[217, 166, 438, 391]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/001_noglasses_slowBlinkWithNodding_531_drowsy.jpg,slowBlinkWithNodding,3,"[191, 143, 415, 364]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_noglasses_slowBlinkWithNodding_1914_drowsy.jpg,slowBlinkWithNodding,3,"[217, 166, 438, 391]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/001_noglasses_slowBlinkWithNodding_1357_drowsy.jpg,slowBlinkWithNodding,3,"[171, 113, 439, 378]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/001_glasses_slowBlinkWithNodding_591_drowsy.jpg,slowBlinkWithNodding,3,"[143, 166, 364, 391]",640,480
